Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
201015_s_at,4.64e-08,8.09e-06,1.593808,JUP
201037_at,2.12e-05,0.000733112,2.1058347,PFKP
201088_at,0.000215083,0.003915451,1.0271825,KPNA2
201124_at,0.000316628,0.005157174,1.203348,ITGB5
201125_s_at,0.000469034,0.006781926,1.1621093,ITGB5
201169_s_at,1.16e-07,1.61e-05,2.116302,BHLHE40
201170_s_at,2.22e-07,2.57e-05,1.5094328,BHLHE40
201188_s_at,1.34e-07,1.75e-05,1.7673818,ITPR3
201189_s_at,8.94e-07,7.27e-05,1.5568266,ITPR3
201201_at,5.76e-08,9.48e-06,1.68389,CSTB
201231_s_at,9.39e-05,0.002155484,1.2751843,ENO1
201250_s_at,1.16e-18,6.32e-14,3.0533566,SLC2A1
201251_at,1.49e-07,1.9e-05,1.756858,PKM
201283_s_at,9.8e-08,1.43e-05,1.2346175,TRAK1
201286_at,3.47e-08,6.65e-06,2.6287153,SDC1
201287_s_at,3.75e-08,7.01e-06,2.1760322,SDC1
201291_s_at,1.91e-07,2.29e-05,2.5544429,TOP2A
201292_at,1.3e-07,1.7e-05,2.3640636,TOP2A
201313_at,6.86e-07,5.94e-05,1.6946701,ENO2
201318_s_at,3.9e-06,0.000213799,1.0969935,MYL12B///MYL12A
201373_at,6.7e-06,0.00031886,1.0879201,PLEC
201416_at,1.04e-05,0.000442055,1.506198,SOX4
201417_at,2.71e-05,0.000885388,1.3088673,SOX4
201418_s_at,1.46e-05,0.000558315,1.2784318,SOX4
201428_at,6.88e-11,6.37e-08,2.314773,CLDN4
201467_s_at,8e-08,1.22e-05,3.2717503,NQO1
201468_s_at,1.62e-06,0.000112772,2.8756253,NQO1
201474_s_at,1.82e-10,1.24e-07,2.2800449,ITGA3
201481_s_at,7.53e-09,2.06e-06,1.297326,PYGB
201548_s_at,7.39e-07,6.28e-05,1.0478403,KDM5B
201562_s_at,1.46e-06,0.000103278,1.434528,SORD
201563_at,3.82e-08,7.09e-06,1.4049746,SORD
201564_s_at,5.37e-05,0.001445017,1.4265289,FSCN1
201579_at,1.03e-08,2.6e-06,1.3717073,FAT1
